id,year,date,day,sector,type,state,occupation,age,shift,hour,equipment,mine_id,bias_primary,bias_families
FAI-1995-52,1995,1995-08-20,Domingo,Metal/NonMetal,Atrapamiento por maquinaria,PA,Conductor,52,mañana,11:40,Grúa,36-00060,META-1,"G, I, K, L, M"
FAI-1995-53,1995,1995-08-21,Lunes,Metal/NonMetal,Caída de persona,MT,Capataz,38,tarde,19:10,Bulldozer/topadora,24-01490,PERI-1,"B, E, G, I, L, M"
FAI-1995-54,1995,1995-08-23,Miércoles,Coal,Acarreo motorizado,KY,Operador de scoop/LHD — accidente de acarreo motorizado en mina de carbón,21,noche,23:30,Continuous miner,15-16020,CONF-1,"B, E, G, L, M"
FAI-1995-55,1995,1995-08-23,Miércoles,Metal/NonMetal,Electrocución / Contacto eléctrico,NM,Electricista,59,mañana,11:00,Huinche/Winche,29-00170,PERI-1,"E, G, M"
CAI-1995-TN-01,1995,1995-08-24,,Coal,Caída de techo,TN,Operador de puente móvil (mobile bridge operator),N/D,,11:31,,,N/D,
FAI-1995-99,1995,1995-09-01,Viernes,Metal/NonMetal,Atrapamiento por maquinaria,VA,Operador de equipos,24,tarde,14:00,Correa transportadora,44-06471,CONF-2,"E, G, M"
FAI-1995-58,1995,1995-09-02,Sábado,Coal,Acarreo motorizado,AK,Operador trainee de camión cisterna,27,mañana,06:00,N/D (exp. total=40a; exp. en puesto específico no disponible en informe),50-01616,PERI-1,"B, E, G, L, M"
FAI-1995-59,1995,1995-09-07,Jueves,Metal/NonMetal,Electrocución / Contacto eléctrico,NM,Mecánico,28,mañana,13:00,Correa transportadora,29-00170,PERI-1,"G, K, L"
FAI-1995-60,1995,1995-09-11,Lunes,Coal,Acarreo motorizado,KY,Inspector,32,mañana,10:30,Correa transportadora,15-02132,META-1,"E, G, K, L, M, N"
FAI-1995-61,1995,1995-09-12,Martes,Coal,Caída de persona,MT,Mecánico,46,mañana,06:00,Cargador frontal,24-00338,CONF-1,"E, G, I, L, M"
FAI-1995-62,1995,1995-09-12,Martes,Coal,Electrocución / Contacto eléctrico,WV,Operador,16,noche,23:45,Shuttle car,46-02905,CONF-1,"E, G, K, L, M"
FAI-1995-63,1995,1995-09-12,Martes,Metal/NonMetal,Electrocución / Contacto eléctrico,FL,Supervisor,58,tarde,18:10,Bulldozer/topadora,08-00768,CONF-1,"G, K, L"
FAI-1995-64,1995,1995-09-18,Lunes,Coal,Caída de techo,WV,Minero,35,tarde,18:00,Continuous miner,46-08442,PERI-1,"B, E, G, I, L, M"
FAI-1995-65,1995,1995-09-18,Lunes,Metal/NonMetal,Acarreo motorizado,CA,Operador de equipo,21,mañana,08:30,Correa transportadora,04-01736,NORM-1,"E, G, M"
FAI-1995-66,1995,1995-09-19,Martes,Metal/NonMetal,Acarreo motorizado,AK,Conductor,48,tarde,20:45,Bulldozer/topadora,50-01616,META-1,"B, E, G, I, L, M"
FAI-1995-67,1995,1995-09-21,Jueves,Metal/NonMetal,Caída de persona,GA,Supervisor,51,mañana,08:15,Cargador frontal,09-01081,META-1,"E, G, I, L, M"
FAI-1995-68,1995,1995-09-28,Jueves,Coal,Acarreo motorizado,WV,Operador,35,mañana,07:15,Continuous miner,46-07530,CONF-1,"B, E, G, I, L, M"
FAI-1995-69,1995,1995-10-03,Martes,Metal/NonMetal,Acarreo motorizado,AL,Supervisor,20,tarde,15:20,Cargador frontal,38-00002,PERI-1,B
FAI-1995-70,1995,1995-10-04,Miércoles,Metal/NonMetal,Electrocución / Contacto eléctrico,PA,Contratista,52,tarde,14:35,Correa transportadora,18-00326,ATAJ-1,"E, G, K, L"
FAI-1995-71,1995,1995-10-06,Viernes,Metal/NonMetal,Incendio,CA,Obrero general,44,mañana,12:45,Bulldozer/topadora,04-00204,DISP-1,"E, G, M"
FAI-1995-72,1995,1995-10-09,Lunes,Metal/NonMetal,Acarreo motorizado,UT,Contratista — Conductor de camión,57,noche,23:05,Cargador frontal,42-01429,PERI-1,"B, E, G, I, L, M"
FAI-1995-73,1995,1995-10-10,Martes,Coal,Electrocución / Contacto eléctrico,NM,Mecánico de mantenimiento subterráneo,28,tarde,21:00,Continuous miner,29-00170,CONF-1,"E, G, I, K, L, M"
FAI-1995-74,1995,1995-10-18,Miércoles,Coal,Atrapamiento por maquinaria,PA,Inspector,62,mañana,06:15,Cargador frontal,36-00884,META-1,"E, G, K, L, M"
FAI-1995-75,1995,1995-10-20,Viernes,Coal,Electrocución / Contacto eléctrico,KY,Capataz,21,mañana,08:00,Personnel carrier,15-04020,META-1,"E, G, K, L, M"
FAI-1995-76,1995,1995-10-20,Viernes,Metal/NonMetal,Caída de techo,TN,Supervisor,49,tarde,18:30,Huinche/Winche,40-00864,PERI-1,"B, E, G, I, L, M"
FAI-1995-57,1995,1995-10-25,Miércoles,Coal,Caída de techo,CO,Minero subterráneo de carbón,40,mañana,11:31,Roof bolter,05-02820,PERI-1,"B, G, I, K, L, N"
FAI-1995-78,1995,1995-10-30,Lunes,Coal,Electrocución / Contacto eléctrico,FL,Electricista de primera,58,mañana,13:20,Correa transportadora,08-00768,PERI-1,"B, E, G, I, K, L, M"
FAI-1995-79,1995,1995-10-31,Martes,Metal/NonMetal,Acarreo motorizado,LA,Capataz,27,noche,23:30,Cargador frontal,16-00358,PERI-1,"E, G, I, L, M"
FAI-1995-80,1995,1995-10-31,Martes,Metal/NonMetal,Electrocución / Contacto eléctrico,AZ,Electricista,30,mañana,12:01,Pala hidráulica,02-00024,PERI-1,"G, K, L"
FAI-1995-42,1995,1995-11-03,Viernes,Metal/NonMetal,Ahogamiento,MI,Obrero (laborer),47,mañana,07:10,Cargador frontal,20-00365,PERI-1,"B, E, G, L, M"
FAI-1995-82,1995,1995-11-08,Miércoles,Coal,Caída de techo,WV,Supervisor,N/D,noche,23:20,Continuous miner,46-05978,ATAJ-1,"E, G, I, L, M"
FAI-1995-83,1995,1995-11-10,Viernes,Coal,Acarreo motorizado,CA,Operador de equipo,21,mañana,07:00,Continuous miner,04-01736,COMP-2,"B, E, G, I, L, M"
FAI-1995-84,1995,1995-11-28,Martes,Coal,Caída de persona,GA,Operador de cargadora,51,tarde,19:00,Correa transportadora,09-01081,PERI-1,"E, G, I, L, M"
FAI-1995-100,1995,1995-11-30,Jueves,Metal/NonMetal,Atrapamiento por maquinaria,CA,Operador de molino,34,tarde,14:20,Correa transportadora,04-01696,NORM-1,"E, G, M"
FAI-1995-85,1995,1995-12-05,Martes,Metal/NonMetal,Atrapamiento por maquinaria,TN,Minero,33,noche,03:55,Cargador frontal,40-00075,PERI-1,"G, K, L"
FAI-1995-86,1995,1995-12-06,Miércoles,Coal,Caída de persona,IL,Contratista,32,mañana,12:30,Pala hidráulica,11-00610,DISP-1,"B, K, L, N"
FAI-1995-87,1995,1995-12-07,Jueves,Coal,Caída de techo,WV,Operador de minador continuo,N/D,mañana,10:14,Continuous miner,46-05978,ATAJ-1,"B, E, G, I, L, M"
FAI-1995-88,1995,1995-12-08,Viernes,Metal/NonMetal,Electrocución / Contacto eléctrico,NJ,Operador,34,mañana,11:00,Correa transportadora,28-00035,PERI-1,"E, G, K, L, M"
FAI-1995-89B,1995,1995-12-09,Sábado,Metal/NonMetal,Acarreo motorizado,NV,Conductor,34,noche,02:55,Bulldozer/topadora,26-01089,PERI-1,"B, E, G, L, M"
FAI-1995-90,1995,1995-12-11,Lunes,Metal/NonMetal,Acarreo motorizado,MO,Operador,40,mañana,08:50,CAEX,23-00701,META-1,"B, E, G, I, L, M"
FAI-1995-91,1995,1995-12-12,Martes,Metal/NonMetal,Caída de persona,MS,Supervisor,24,mañana,10:30,Cargador frontal,22-00619,CONF-2,"B, E, G, I, L, M"
FAI-1995-92,1995,1995-12-14,Jueves,Metal/NonMetal,Atrapamiento por maquinaria,OH,Operador,50,mañana,12:30,Bulldozer/topadora,33-00043,META-1,B
FAI-1995-89,1995,1995-12-18,Lunes,Coal,Acarreo motorizado,WV,Capataz,38,tarde,16:20,Continuous miner,46-08395,ATAJ-1,"E, G, K, L, M, N"
FAI-1995-93,1995,1995-12-19,Martes,Coal,Acarreo motorizado,AZ,Operador de camión de mina subterránea,41,noche,23:30,Continuous miner,02-00840,PERI-1,"E, G, I, L, M"
FAI-1995-94,1995,1995-12-21,Jueves,Coal,Falla de highwall / Talud,WV,Minero,35,noche,04:00,Continuous miner,46-08200,META-1,"B, E, G, I, L, M"
FAI-1995-95,1995,1995-12-22,Viernes,Metal/NonMetal,Atrapamiento por maquinaria,MI,Contratista — Conductor de camión,30,mañana,10:50,Grúa,20-02688,PERI-1,"E, G, M"
FAI-1995-96,1995,1995-12-23,Sábado,Coal,Atrapamiento por maquinaria,WV,Operador,62,mañana,07:00,Continuous miner,46-04678,COMP-2,"E, G, K, L, M"
FAI-1995-97,1995,1995-12-24,Domingo,Metal/NonMetal,Acarreo motorizado,AZ,Conductor de camión,41,tarde,20:00,CAEX,02-00840,PERI-1,"B, E, G, I, L, M"
FAI-1995-98,1995,1995-12-27,Miércoles,Metal/NonMetal,Atrapamiento por maquinaria,NV,Obrero general,44,mañana,13:30,Grúa,26-00639,CONF-3,"E, G, M"
FAI-1996-M01,1996,1996-01-11,Jueves,Metal/NonMetal,Acarreo motorizado,OR,Operador,47,tarde,16:00,Cargador frontal,35-03287,META-1,"E, G, I, L, M"
FAI-1996-C01,1996,1996-01-19,Viernes,Coal,Atrapamiento por maquinaria,WV,Capataz,30,mañana,13:15,Continuous miner,46-08382,PERI-1,"E, G, K, L, M"
FAI-1996-C02,1996,1996-01-23,Martes,Coal,Atrapamiento por maquinaria,KY,Soldador (welder),N/D,mañana,13:40,Cargador frontal,44-04251,CONF-3,"E, G, M"
FAI-1996-C03,1996,1996-01-24,Miércoles,Coal,Acarreo motorizado,WV,Inspector,22,tarde,16:00,Correa transportadora,46-01453,NORM-3,"B, E, G, I, L, M"
FAI-1996-M02,1996,1996-01-25,Jueves,Metal/NonMetal,Acarreo motorizado,AZ,Conductor de camión,26,día,05:20,CAEX,02-00024,META-1,"B, E, G, I, L, M"
FAI-1996-M03,1996,1996-02-06,Martes,Metal/NonMetal,Acarreo motorizado,PA,Obrero general,20,mañana,12:15,Cargador frontal,36-00060,META-1,"B, E, G, I, L, M"
FAI-1996-C04,1996,1996-02-07,Miércoles,Coal,Caída de costilla,WV,Operador de cargadora de cadena,16,mañana,08:20,Continuous miner,46-01433,ATAJ-1,"B, E, G, I, L, M"
FAI-1996-C05,1996,1996-02-08,Jueves,Coal,Atrapamiento por maquinaria,KY,Ayudante,38,mañana,08:25,Huinche/Winche,15-17721,NORM-1,"E, G, K, L, M"
FAI-1996-M04,1996,1996-02-09,Viernes,Metal/NonMetal,Caída de persona,TX,Capataz,N/D,tarde,17:45,Correa transportadora,41-00026,PERI-1,"B, E, G, I, L, M"
FAI-1996-M06,1996,1996-02-09,Viernes,Metal/NonMetal,Caída de persona,TX,Capataz,N/D,tarde,17:45,Correa transportadora,41-00026,PERI-1,"B, E, G, I, L, M"
FAI-1996-M05,1996,1996-02-14,Miércoles,Metal/NonMetal,Atrapamiento por maquinaria,CA,Mecánico,35,día,08:30 (OFICIAL-informe),Perforadora hidráulica sobre orugas,04-00239,NORM-2,"B, E, G, M"
FAI-1996-C06,1996,1996-02-15,Jueves,Coal,Acarreo motorizado,WV,Operador de scoop,72,mañana,07:00,Roof bolter,46-07854,PERI-1,"B, E, G, I, L, M"
FAI-1996-M07,1996,1996-02-15,Jueves,Metal/NonMetal,Acarreo motorizado,OK,Supervisor,38,noche,01:40,Cargador frontal,34-01299,NORM-1,B
CAI-1996-90,1996,1996-03-01,Viernes,Coal,Acarreo motorizado,KY,Operador de empernadora (asistiendo reparación de correa),35,día,06:00 (OFICIAL-informe),Equipo de acarreo subterráneo,15-14186,NORM-2,"E, G, I, L, M"
FAI-1996-M11,1996,1996-03-09,Sábado,Metal/NonMetal,Manejo de materiales,NV,Ayudante,42,mañana,12:15,N/D (exp. total=6a; exp. en puesto específico no disponible en informe),26-02246,NORM-1,"E, G, M"
FAI-1996-C08,1996,1996-03-10,Domingo,Coal,Acarreo motorizado,AL,Capataz,45,mañana,07:30,Continuous miner,01-01247,ATAJ-1,"E, G, I, L, M"
FAI-1996-C09,1996,1996-03-11,Lunes,Coal,Acarreo motorizado,KY,Capataz,31,mañana,11:00,Shuttle car,15-14492,CONF-1,"E, G, I, L, M"
FAI-1996-M08,1996,1996-03-19,Martes,Metal/NonMetal,Acarreo motorizado,AZ,Electricista,44,día,05:00,CAEX,02-00144,META-1,"E, G, I, L, M"
FAI-1996-C10,1996,1996-03-20,Miércoles,Coal,Acarreo motorizado,KY,Operador de scoop,34,tarde,17:30,Continuous miner,15-08293,PERI-1,"E, G, M"
FAI-1996-M09,1996,1996-03-20,Miércoles,Metal/NonMetal,Atrapamiento por maquinaria,CA,Mecánico,41,mañana,10:00,Cargador frontal,04-01763,META-1,"E, G, M"
FAI-1996-M10,1996,1996-04-03,Miércoles,Metal/NonMetal,Acarreo motorizado,TN,Supervisor,50,día,05:45,LHD/Scoop,40-00166,PERI-1,"B, E, G, I, L, M"
FAI-1996-C14,1996,1996-04-07,Domingo,Coal,Acarreo motorizado,KY,Capataz,26,tarde,14:00,Continuous miner,15-17232,NORM-1,"B, E, G, I, L, M"
FAI-1996-C11,1996,1996-04-08,Lunes,Coal,Acarreo motorizado,IL,Obrero general,45,tarde,17:00,Shuttle car,11-00612,ATAJ-1,"B, E, G, I, L, M"
FAI-1996-C12,1996,1996-04-10,Miércoles,Coal,Atrapamiento por maquinaria,PA,Inspector,26,mañana,10:10,Continuous miner,36-05018,META-1,"E, G, I, K, L, M, N"
FAI-1996-M24,1996,1996-04-10,Miércoles,Metal/NonMetal,Explosión / Incendio,UT,Inspector,42,tarde,17:10,Camión de servicio,42-01828,PERI-1,"B, E, G, K, L, M"
FAI-1996-C13,1996,1996-04-11,Jueves,Coal,Atrapamiento por maquinaria,WV,Operador de perforadora de techo y obrero,N/D,noche,23:30,Roof bolter,46-08505,PERI-1,"E, G, M"
FAI-1996-M12,1996,1996-04-17,Miércoles,Metal/NonMetal,Caída de persona / Ahogamiento,MD,Operador,41,mañana,11:30,Pala hidráulica,18-00581,PERI-1,"B, E, G, I, L, M"
FAI-1996-M13,1996,1996-04-17,Miércoles,Metal/NonMetal,Caída de persona / Ahogamiento,MD,Operador,N/D,mañana,11:30,Pala hidráulica,18-00581,PERI-1,"B, E, G, I, L, M"
FAI-1996-C15,1996,1996-04-20,Sábado,Coal,Manejo de materiales,WV,Operador de minador continuo,N/D,noche,04:30,Correa transportadora,46-06051,ATAJ-1,"E, G, M"
FAI-1996-M14,1996,1996-04-23,Martes,Metal/NonMetal,Atrapamiento por maquinaria,NV,Operador,33,tarde,14:00,Correa transportadora,26-02267,META-1,"E, G, M"
FAI-1996-M15,1996,1996-04-26,Viernes,Metal/NonMetal,Electrocución / Contacto eléctrico,AR,Operador,34,mañana,09:45,Cargador frontal,03-01399,NORM-1,"E, G, K, L"
FAI-1996-C16,1996,1996-05-05,Domingo,Coal,Acarreo motorizado,PA,Operador,30,tarde,18:10,Cargador frontal,36-00884,PERI-1,"B, E, G, I, L, M"
FAI-1996-M16,1996,1996-05-07,Martes,Metal/NonMetal,Acarreo motorizado,OR,Operador,25,mañana,08:30,Correa transportadora,35-03363,META-1,"B, G"
FAI-1996-M17,1996,1996-05-08,Miércoles,Metal/NonMetal,Electrocución / Contacto eléctrico,PA,Contratista — Obrero general,31,mañana,09:20,Cargador frontal,36-02362,PERI-1,"E, G, K, L"
FAI-1996-M18,1996,1996-05-10,Viernes,Metal/NonMetal,Caída de techo,MO,Obrero,45,mañana,13:00,Cargador frontal,23-00202,NORM-1,"B, E, G, I, L, M"
FAI-1996-M19,1996,1996-05-10,Viernes,Metal/NonMetal,Caída de techo,MO,Perforista,27,mañana,13:00,Cargador frontal,23-00202,NORM-1,"B, E, G, I, L, M"
FAI-1996-M20,1996,1996-05-10,Viernes,Metal/NonMetal,Caída de persona,WI,Obrero general,52,mañana,10:00,Correa transportadora,47-00097,NORM-1,"B, E, G, M"
FAI-1996-M21,1996,1996-05-16,Jueves,Metal/NonMetal,Acarreo motorizado,IA,Operador,41,tarde,15:50,Correa transportadora,13-02149,NORM-1,"B, E, G, I, L, M"
FAI-1996-C17,1996,1996-05-17,Viernes,Coal,Acarreo motorizado,IL,Inspector,53,tarde,16:00,Correa transportadora,11-00877,PERI-1,"B, E, G, I, L, M"
FAI-1996-M22,1996,1996-05-18,Sábado,Metal/NonMetal,Acarreo motorizado,CA,Conductor de camión,70,mañana,13:30,CAEX,04-02965,PERI-1,"B, E, G, I, L, M"
FAI-1996-M23,1996,1996-05-28,Martes,Metal/NonMetal,Caída de persona,NC,Supervisor,25,mañana,13:30,Cargador frontal,31-02002,PERI-1,"E, G, I, L, M"
FAI-1996-M25,1996,1996-06-19,Miércoles,Metal/NonMetal,Acarreo motorizado,IL,Contratista — Conductor de camión,35,mañana,10:30,Cargador frontal,11-01117,NORM-1,"B, E, G, I, L, M"
FAI-1996-C18,1996,1996-06-26,Miércoles,Coal,Explosión / Incendio,WV,Capataz,54,mañana,11:00,Continuous miner,46-03374,META-1,"E, G, K, L, M"
FAI-1996-M26,1996,1996-06-26,Miércoles,Metal/NonMetal,Caída de persona,PA,Conductor de camión,35,mañana,13:35,Cargador frontal,36-05128,PERI-1,"E, G, I, L, M"
FAI-1996-M28,1996,1996-06-29,Sábado,Metal/NonMetal,Acarreo motorizado,OK,Supervisor,44,mañana,07:00,Cargador frontal,34-01794,META-1,"B, G"
FAI-1996-C19,1996,1996-07-08,Lunes,Coal,Acarreo motorizado,VA,Operador,47,mañana,11:00,Continuous miner,44-03808,NORM-1,"B, E, G, I, L, M"
FAI-1996-M27,1996,1996-07-08,Lunes,Metal/NonMetal,Acarreo motorizado,IL,Mecánico,52,mañana,09:15,CAEX,11-00033,PERI-1,"E, G, K, M"
FAI-1996-M29,1996,1996-07-17,Miércoles,Metal/NonMetal,Caída de persona,KY,Supervisor,38,tarde,17:05,Correa transportadora,15-00008,NORM-1,"B, E, G, I, L, M"
